id,name,tag,effect,suitable,avoid,methods,images,AncientBooks
22,蜂蜜,滋阴,补中润燥、止痛解毒,阴虚质、脾虚质,豆腐、韭菜、葱,冲水、调味、煲汤,fengmi.png,食疗本草：「微温。主心腹邪气、诸惊痫、补五藏不足气。益中止痛，解毒。能除众病，和百药」；饮膳正要：「补中润燥，止痛解毒，和百药」
23,豆腐,滋阴、健脾,益气和中、生津润燥,阴虚质、脾虚质,菠菜、蜂蜜、韭菜,炖煮、清炒、凉拌,doufu.png,饮膳正要：「益气和中，生津润燥，清热解毒」
24,生姜,温阳、健脾,温中散寒、温中止呕,阳虚质、脾虚质,兔肉、韭菜、白酒,泡茶、煲汤、调味,shengjiang.png,食疗本草：「温。去痰下气。多食少心智。八九月食，伤神。除壮热，治转筋，心满，通神明」；饮膳正要：「温中散寒，温中止呕，化痰」
25,羊肉,温阳,温中健脾、补肾壮阳,阳虚质,醋、西瓜、南瓜,炖煮、煲汤、红烧,yangrou.png,食疗本草：「温。主风眩瘦病、小儿惊痫、丈夫五劳七伤、藏气虚寒。河西羊最佳」；饮膳正要：「温中暖下，补肾壮阳，治虚劳寒冷」
26,韭菜,温阳、健脾,温中开胃、补肾壮阳,阳虚质,白酒、牛肉、蜂蜜,清炒、包饺子、煮粥,jiucai.png,食疗本草：「冷气人可煮长服之。治胸痹心中急痛如锥刺，利胸膈」；饮膳正要：「温中开胃，补肾壮阳，暖腰膝」
27,核桃,温阳,补肾温肺、润肠通便,阳虚质、肾虚质,浓茶、白酒,直接食用、煮粥、煲汤,hetao.png,食疗本草：「平。除去风，润脂肉，令人能食。通经络气，润血脉，黑发，差一切痔病」；饮膳正要：「补肾温肺，润肠通便，强腰膝」
28,胡椒,温阳、健脾,温中散寒、下气消痰,阳虚质,柿子、生冷食物,调味、煲汤、煮粥,hujiao.png,食疗本草：「治五藏风冷，冷气心腹痛，吐清水，酒服之佳」；饮膳正要：「温中散寒，下气消痰，开胃」
29,虾,温阳,补肾壮阳、通络止痛,阳虚质,维生素C、南瓜、红枣,清炒、煲汤、白灼,xia.png,食疗本草：「平。无须及煮色白者，不可食。小者有小毒，动风、发疮疥」；饮膳正要：「补肾壮阳，通络止痛，开胃化痰」
30,栗子,温阳、健脾,养胃健脾、补肾强筋,阳虚质、脾虚质,牛肉、羊肉、杏仁,煮粥、煲汤、糖炒,lizi.png,食疗本草：「生食治腰脚。蒸炒食之，令气拥，患风水气不宜食。下气、补益」；饮膳正要：「养胃健脾，补肾强筋，活血止血」
31,绿豆,清热、健脾,清热解毒、利水消肿,湿热质、阴虚质,狗肉、羊肉、滋补药材,煮汤、煮粥、磨粉,lvdou.png,食疗本草：「平。补益，和五藏，安精神，行十二经脉。去浮风，益气力，润皮肉，可长食之」；饮膳正要：「清热解毒，利水消肿，解暑」
32,苦瓜,清热,清热解暑、明目解毒,湿热质,豆腐、虾、猪肝,清炒、煲汤、榨汁,kugua.png,饮膳正要：「清热解暑，明目解毒，清心明目」
33,冬瓜,清热、健脾,清热利水、消肿解毒,湿热质,红豆、鲫鱼过量,煲汤、清炒、炖肉,donggua.png,食疗本草：「寒。主治小腹水鼓胀。利小便，止消渴。其子益气耐老，除心胸气满」；饮膳正要：「清热利水，消肿解毒，止渴」
34,芹菜,清热,平肝清热、祛风利湿,湿热质、肝火旺,黄瓜、蛤蜊,清炒、榨汁、煲汤,qincai.png,饮膳正要：「平肝清热，祛风利湿，除烦」
35,黄瓜,清热,清热利水、解毒消肿,湿热质,西红柿、辣椒、菠菜,生吃、凉拌、清炒,huanggua.png,食疗本草：「寒。不可多食，动风及寒热。又发痃疟，兼积瘀血」；饮膳正要：「清热利水，解毒消肿，生津」
36,金银花,清热,清热解毒、疏散风热,湿热质,羊肉、桂圆、生姜等温补食材,泡茶、煲汤、煮粥,jinyinhua.png,饮膳正要：「清热解毒，疏散风热，治痈肿疮毒」
37,莲子,清热、健脾,补脾止泻、益肾安神,湿热质、脾虚质,猪肚、柿子,煮粥、煲汤、泡茶,lianzi.png,食疗本草：「寒。主治五藏不足、伤中气绝，利益十二经脉、廿五络血气。生吃微动气，蒸熟为上」；饮膳正要：「补脾止泻，益肾涩精，养心安神」
38,蒲公英,清热,清热解毒、消肿散结,湿热质,生冷食物、温补药材,泡茶、凉拌、煲汤,pugongying.png,饮膳正要：「清热解毒，消肿散结，利尿通淋」
39,小米,健脾,健脾和胃、补益虚损,脾虚质,杏仁、醋,煮粥、熬汤,xiaomi.png,食疗本草：「陈者止痢，甚压丹石热。温中益气，补下元」；饮膳正要：「健脾和胃，补益虚损，和中益肾」
40,大米,健脾、补气,补中益气、健脾和胃,脾虚质、气虚质,苍术、蜂蜜,煮粥、煮饭、煲汤,dami.png,食疗本草：「平。主益气，止烦止泄。补中益气，坚筋骨，通血脉，起阳道」；饮膳正要：「补中益气，健脾和胃，长肌肉」
41,南瓜,健脾、补气,补中益气、消炎止痛,脾虚质、气虚质,羊肉、菠菜,煮粥、蒸制、煲汤,nangua.png,饮膳正要：「补中益气，消炎止痛，解毒杀虫」
42,薏米,健脾、清热,利水渗湿、健脾止泻,脾虚质、湿热质,菠菜、蜂蜜,煮粥、煲汤、磨粉,yimi.png,食疗本草：「平。去干、湿脚气，大验」；饮膳正要：「利水渗湿，健脾止泻，清热排脓」
43,白萝卜,健脾、清热,下气消食、解毒生津,脾虚质、湿热质,人参、党参、黄芪,清炒、炖汤、榨汁,bailuobo.png,食疗本草：「冷。利五藏，轻身益气。根消食下气，甚利关节，除五藏中风，练五脏中恶气」；饮膳正要：「下气消食，解毒生津，和中止咳」
44,芡实,健脾、滋阴,益肾固精、补脾止泻,脾虚质、肾虚质,生冷食物、油腻食物,煮粥、煲汤、磨粉,qianshi.png,食疗本草：「寒。主温，治风痹、腰脊强直、膝痛。补中焦，益精，强志意，耳目聪明」；饮膳正要：「益肾固精，补脾止泻，祛湿止带」
45,茯苓,健脾、清热,利水渗湿、健脾宁心,脾虚质、湿热质,醋、浓茶,煎服、煲汤、煮粥,fuling.png,饮膳正要：「利水渗湿，健脾宁心，安神益智」
46,莲藕,健脾、清热,清热生津、补益脾胃,脾虚质、湿热质,大豆、猪肝,清炒、炖汤、蒸制,lianou.png,食疗本草：「寒。主补中焦，养神，益气力，除百病。久服轻身耐寒，不饥延年。生食治霍乱后虚渴」；饮膳正要：「清热生津，补益脾胃，凉血散瘀」
47,芋头,健脾,益脾胃、调中气,脾虚质,香蕉、柿子,蒸制、煮粥、煲汤,yutou.png,食疗本草：「平。主宽缓肠胃，去死肌，令脂肉悦泽。白净者无味，紫色者良，破气」；饮膳正要：「益脾胃，调中气，化痰和胃」
48,扁豆,健脾、清热,健脾和中、消暑化湿,脾虚质、湿热质,生冷食物、油炸食物,清炒、煮粥、煲汤,biandou.png,食疗本草：「微寒。主呕逆，久食头不白。患冷气人勿食。疗霍乱吐不止，下气」；饮膳正要：「健脾和中，消暑化湿，和中止呕」
