id,name,tag,effect,suitable,avoid,methods,images,ancient_quote
12,红肉(猪/牛),补血,补铁养血、滋养脾胃,血虚质,浓茶、柿子,炖煮、爆炒、煲汤,hongrou.png,《随息居饮食谱》：猪肉补肾液，充胃汁，滋肝阴，润肌肤，止消渴。
13,黑芝麻,补血、滋阴,补肝肾、益精血、润肠燥,血虚质、阴虚质,鸡肉、鸭肉,煮粥、磨粉、煲汤,heizhima.png,《神农本草经》：主伤中虚羸，补五内，益气力，长肌肉，填脑髓。
14,樱桃,补血,补中益气、祛风除湿,血虚质,黄瓜、胡萝卜,直接食用、榨汁、煮粥,yingtao.png,《滇南本草》：治一切虚症，能大补元气，滋润皮肤。
15,红糖,补血、健脾,益气养血、健脾暖胃,血虚质、阳虚质,皮蛋、牛奶,冲水、煮粥、煲汤,hongtang.png,《本草纲目》：和脾缓肝，补血，活血，通淤，以及排毒露。
16,银耳,滋阴,滋阴润肺、养胃生津,阴虚质,菠菜、浓茶,炖汤、煮粥、凉拌,yiner.png,《本草诗解》：白木耳有麦冬之润而无其寒，有玉竹之甘而无其腻，诚润肺滋阴之要品。
17,百合,滋阴,养阴润肺、清心安神,阴虚质、气郁质,羊肉、狗肉,炖汤、煮粥、泡茶,baihe.png,《神农本草经》：主邪气腹胀，心痛，利大小便，补中益气。
18,麦冬,滋阴,养阴生津、润肺清心,阴虚质,鲫鱼、萝卜,泡茶、煲汤、煮粥,maidong.png,《神农本草经》：主心腹结气，伤中伤饱，胃络脉绝，羸瘦短气。
19,枸杞,滋阴,滋补肝肾、益精明目,阴虚质、肝肾不足,绿茶、狗肉、牛肉,泡茶、煲汤、煮粥,gouqi.png,《神农本草经》：主五内邪气，热中消渴，周痹风湿。久服，坚筋骨，轻身不老，耐寒暑。
20,鸭肉,滋阴,滋阴养胃、利水消肿,阴虚质,李子、甲鱼,煲汤、清炖、红烧,yarou.png,《食疗本草》：滋五脏之阴，清虚劳之热，补血行水，养胃生津。
21,梨,滋阴、清热,生津润燥、清热化痰,阴虚质、湿热质,螃蟹、热水,生吃、炖汤、榨汁,li.png,《本草纲目》：润肺凉心，消痰降火，解疮毒、酒毒。
22,蜂蜜,滋阴,补中润燥、止痛解毒,阴虚质、脾虚质,豆腐、韭菜、葱,冲水、调味、煲汤,fengmi.png,《神农本草经》：主心腹邪气，诸惊痫痓，安五脏诸不足，益气补中，止痛解毒。
23,豆腐,滋阴、健脾,益气和中、生津润燥,阴虚质、脾虚质,菠菜、蜂蜜、韭菜,炖煮、清炒、凉拌,doufu.png,《随息居饮食谱》：清热润燥，生津解毒，补中宽肠，降浊废气。
24,生姜,温阳、健脾,温中散寒、温中止呕,阳虚质、脾虚质,兔肉、韭菜、白酒,泡茶、煲汤、调味,shengjiang.png,《名医别录》：主伤寒头痛鼻塞，咳逆上气，止呕吐。
25,羊肉,温阳,温中健脾、补肾壮阳,阳虚质,醋、西瓜、南瓜,炖煮、煲汤、红烧,yangrou.png,《本草拾遗》：补虚劳，益气血，壮阳道，开胃健力。
26,韭菜,温阳、健脾,温中开胃、补肾壮阳,阳虚质,白酒、牛肉、蜂蜜,清炒、包饺子、煮粥,jiucai.png,《本草拾遗》：温中，下气，补虚，调和腑脏，令人能食，益阳。
27,核桃,温阳,补肾温肺、润肠通便,阳虚质、肾虚质,浓茶、白酒,直接食用、煮粥、煲汤,hetao.png,《本草纲目》：补气养血，润燥化痰，益命门，处三焦，温肺润肠。
28,胡椒,温阳、健脾,温中散寒、下气消痰,阳虚质,柿子、生冷食物,调味、煲汤、煮粥,hujiao.png,《本草纲目》：暖肠胃，除寒湿反胃、虚胀冷积，阴毒，牙齿浮热作痛。
29,虾,温阳,补肾壮阳、通络止痛,阳虚质,维生素C、南瓜、红枣,清炒、煲汤、白灼,xia.png,《本草纲目》：作羹，下乳汁，煎汁，吐风痰，捣膏，敷虫疽。
30,栗子,温阳、健脾,养胃健脾、补肾强筋,阳虚质、脾虚质,牛肉、羊肉、杏仁,煮粥、煲汤、糖炒,lizi.png,《名医别录》：主益气，厚肠胃，补肾气，令人耐饥。
31,绿豆,清热、健脾,清热解毒、利水消肿,湿热质、阴虚质,狗肉、羊肉、滋补药材,煮汤、煮粥、磨粉,lvdou.png,《开宝本草》：主丹毒烦热，风疹，热气奔豚，生研绞汁服，消肿下气，压热解毒。
32,苦瓜,清热,清热解暑、明目解毒,湿热质,豆腐、虾、猪肝,清炒、煲汤、榨汁,kugua.png,《滇南本草》：泻六经实火，清暑，益气，止渴。
33,冬瓜,清热、健脾,清热利水、消肿解毒,湿热质,红豆、鲫鱼过量,煲汤、清炒、炖肉,donggua.png,《神农本草经》：令人悦泽好颜色，益气不饥，久服轻身耐老。
34,芹菜,清热,平肝清热、祛风利湿,湿热质、肝火旺,黄瓜、蛤蜊,清炒、榨汁、煲汤,qincai.png,《本草推陈》：治肝阳头晕，面红目赤，头重脚轻，步行飘摇等症。
35,黄瓜,清热,清热利水、解毒消肿,湿热质,西红柿、辣椒、菠菜,生吃、凉拌、清炒,huanggua.png,《本草拾遗》：解烦渴，利水道，主治热病口渴，小便短赤。
36,金银花,清热,清热解毒、疏散风热,湿热质,羊肉、桂圆、生姜等温补食材,泡茶、煲汤、煮粥,jinyinhua.png,《本草纲目》：一切风湿气，及诸肿毒、痈疽疥癣、杨梅诸恶疮。散热解毒。
37,莲子,清热、健脾,补脾止泻、止带、益肾涩精、养心安神,湿热质、脾虚质,猪肚、柿子,煮粥、煲汤、泡茶,lianzi.png,《神农本草经》：主补中、养神、益气力。
38,蒲公英,清热,清热解毒、消肿散结、利湿通淋,湿热质,生冷食物、温补药材,泡茶、凉拌、煲汤,pugongying.png,《新修本草》：主妇人乳痈肿，水煮汁饮之及封之立消。
39,小米,健脾,健脾和胃、补益虚损,脾虚质,杏仁、醋,煮粥、熬汤,xiaomi.png,《滇南本草》：主滋阴，养肾气，健脾胃，暖中。
40,大米,健脾、补气,补中益气、健脾和胃,脾虚质、气虚质,苍术、蜂蜜,煮粥、煮饭、煲汤,dami.png,《本草纲目》：温中益气，养胃和脾，除烦止渴，止泄痢。
41,南瓜,健脾、补气,补中益气、消炎止痛、解毒杀虫,脾虚质、气虚质,羊肉、菠菜,煮粥、蒸制、煲汤,nangua.png,《滇南本草》：横行经络，利小便。
42,薏米,健脾、清热,利水渗湿、健脾止泻、清热排脓,脾虚质、湿热质,菠菜、蜂蜜,煮粥、煲汤、磨粉,yimi.png,《神农本草经》：主筋急拘挛，不可屈伸，风湿痹，下气。
43,白萝卜,健脾、清热,下气消食、解毒生津,脾虚质、湿热质,人参、党参、黄芪,清炒、炖汤、榨汁,bailuobo.png,《食疗本草》：利五脏，轻身，令人白净肌细。
44,芡实,健脾、滋阴,益肾固精、补脾止泻、除湿止带,脾虚质、肾虚质,生冷食物、油腻食物,煮粥、煲汤、磨粉,qianshi.png,《神农本草经》：主湿痹腰脊膝痛，补中除暴疾，益精气，强志。
45,茯苓,健脾、清热,利水渗湿、健脾、宁心,脾虚质、湿热质,醋、浓茶,煎服、煲汤、煮粥,fuling.png,《神农本草经》：主胸胁逆气，忧恚惊邪恐悸，心下结痛，寒热烦满，咳逆。
46,莲藕,健脾、清热,清热生津、凉血止血、补益脾胃,脾虚质、湿热质,大豆、猪肝,清炒、炖汤、蒸制,lianou.png,《本草经疏》：生者甘寒，能凉血止血，除热清胃，主消散瘀血。
47,芋头,健脾,益脾胃、调中气,脾虚质,香蕉、柿子,蒸制、煮粥、煲汤,yutou.png,《滇南本草》：治中气不足，久服补肝肾，添精益髓。
48,扁豆,健脾、清热,健脾和中、消暑化湿,脾虚质、湿热质,生冷食物、油炸食物,清炒、煮粥、煲汤,biandou.png,《名医别录》：和中下气，清暑化湿，健脾宽胃。
