id,name,ingredients,effect,suitable,steps,taboo,images,ancient_quote
35,陈皮小米粥,陈皮、小米、红枣,健脾理气，和胃消滞,气虚质,1. 陈皮5g泡软刮瓤切丝，小米80g，红枣15g切碎；2. 锅加水1L下小米陈皮；3. 熬30分钟；4. 加红枣碎熬15分钟。,胃酸过多、阴虚火旺者不宜多食。,chenpixiaomi.png,《本草纲目》：橘皮，苦能泄能燥，辛能散，温能和。此膳主理气健脾，燥湿化痰。
36,枸杞炖乳鸽,枸杞、乳鸽、黄芪、生姜,补气益精，滋阴养血,气虚质,1. 乳鸽1只（约300g）焯水；2. 黄芪15g，姜片10g；3. 炖盅加水淹没，隔水炖1.5小时；4. 关火前10分钟加枸杞10g、盐2g。,感冒发热者忌食鸽子。,gouqidunruge.png,《本草纲目》：黄芪为补气之要药。此膳用以益气固表，升阳举陷。
37,甘草大枣汤,甘草、大枣、蜂蜜,补中益气，缓急止痛,气虚质,1. 甘草片10g，大枣20g去核切开；2. 加水500ml；3. 小火慢熬15分钟；4. 滤汁降温至40度加蜂蜜15g。,湿阻中满、水肿者忌服。,gancaodazao.png,《中医食疗学》：此膳具有【补中益气，缓急止痛】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
38,黄精炖瘦肉,黄精、瘦肉、枸杞、生姜,补气养阴，健脾润肺,气虚质,1. 瘦肉200g焯水，制黄精15g，姜片10g；2. 砂锅加开水800ml炖1小时；3. 出锅前5分钟加枸杞10g、盐2g。,脾虚有湿、咳嗽痰多者忌服黄精。,huangjingdunshourou.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
39,西洋参蜂蜜水,西洋参、蜂蜜,益气养阴，生津止渴,气虚质,1. 西洋参片5g放保温杯；2. 注入300ml 80度热水焖10分钟；3. 降温后加蜂蜜10g，参片可嚼服。,胃寒湿重者不宜饮用。,xiyangcanfengmi.png,《中医食疗学》：此膳具有【益气养阴，生津止渴】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
40,肉桂红糖茶,肉桂粉、红糖、生姜,温补肾阳、散寒暖宫,阳虚质,1. 生姜片15g加水400ml煮10分钟；2. 加红糖15g化开；3. 关火撒肉桂粉2g（或桂皮3g同煮）。,内有实热或出血者严禁使用肉桂。,rouguihongtang.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
41,韭菜炒虾仁,韭菜、虾仁,补肾壮阳、温中行气,阳虚质,1. 虾仁150g去线腌制，韭菜200g切段；2. 姜丝爆锅滑熟虾仁盛出；3. 猛火炒韭菜断生，倒回虾仁加盐2g炒匀。,胃虚有热、阴虚阳亢者忌食。,jiucaichaoxiaren.png,《中医食疗学》：此膳具有【补肾壮阳、温中行气】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
43,鹿茸炖鸡汤,鸡肉、鹿茸、枸杞、生姜,补肾壮阳、益精养血,阳虚质,1. 鸡肉400g焯水，鹿茸片3-5g，姜片10g；2. 炖盅加水隔水慢炖2.5小时；3. 加枸杞10g、盐2g。,高血压、阴虚火旺者绝对禁忌。,lurongdunji.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
44,茴香猪肉饺子,猪肉、茴香、生姜,温中散寒、理气止痛,阳虚质,1. 猪肉末300g加姜末10g调味上劲；2. 鲜小茴香200g切碎拌入肉馅；3. 包饺子水开煮熟。,阴虚火旺者不宜多食小茴香。,huixiangzhuroujiaozi.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
45,杜仲猪腰汤,猪腰、杜仲、核桃仁、生姜,补肾强腰、温阳固精,阳虚质,1. 猪腰1个去白膜切花焯水；2. 杜仲15g，核桃仁20g，姜片15g加水800ml煮40分钟；3. 下猪腰滚煮5分钟加盐2g。,阴虚火旺者慎服杜仲。,duzhongzhuyao.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
46,姜枣茶,生姜、红枣、红糖,温中散寒、补血益气,阳虚质,1. 带皮生姜20g切片，红枣30g去核剪开；2. 加水600ml小火熬20分钟；3. 加红糖20g，上午饮用最佳。,阴虚内热者忌服；晚上不宜饮用。,jiangzaocha.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
47,羊肉萝卜汤,羊肉、白萝卜、生姜,温阳补虚、消食化痰,阳虚质,1. 羊肉400g焯水，白萝卜300g切块；2. 姜片15g爆锅煸炒羊肉；3. 移入砂锅加水1.5L炖1小时；4. 加萝卜炖30分钟，加盐3g胡椒粉1g。,内火较重者不宜吃羊肉。,yangrouluobo.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
48,肉桂苹果派,苹果、肉桂粉、红糖,温阳散寒、健脾暖胃,阳虚质,1. 苹果2个（约300g）切丁，黄油15g炒软；2. 加红糖20g收汁，撒肉桂粉3g拌匀作馅；3. 手抓饼包好烤至金黄。,肉桂大热，内有实热慎食。,rouguipingguopai.png,《中医食疗学》：此膳具有【温阳散寒、健脾暖胃】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
49,黄芪炖乌鸡,乌鸡、黄芪、枸杞、生姜,补气温阳、增强体质,阳虚质,1. 乌鸡400g焯水，黄芪20g，姜片15g；2. 砂锅加水1.5L炖2小时；3. 关火前加枸杞10g、盐3g。,感冒初起、实热证患者不宜。,huangqidunwuji.png,《本草纲目》：黄芪为补气之要药。此膳用以益气固表，升阳举陷。
50,黑豆桂圆粥,黑豆、桂圆、粳米、红糖,补肾温阳、养血安神,阳虚质,1. 黑豆50g浸泡过夜，粳米80g，桂圆肉15g；2. 加水1L先煮黑豆40分钟；3. 加米和桂圆煮30分钟；4. 加红糖15g。,脾胃虚弱易胀气者少食黑豆。,heidouguiyuan.png,《中医食疗学》：此膳具有【补肾温阳、养血安神】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
51,干姜甘草茶,干姜、甘草、红糖,温中回阳、缓急止痛,阳虚质,1. 干姜片10g，甘草10g；2. 加水500ml小火熬15分钟；3. 加红糖15g，滤汁温服。,阴虚火旺、血热妄行者严禁使用干姜。,ganjianggancao.png,《中医食疗学》：此膳具有【温中回阳、缓急止痛】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
52,沙参玉竹老鸭汤,老鸭、沙参、玉竹、枸杞,滋阴清热，润肺养胃,阴虚质,1. 老鸭500g焯水，沙参15g，玉竹15g；2. 砂锅加水1.5L，炖1.5-2小时；3. 加枸杞10g、盐3g。,脾胃虚寒易腹泻者不宜食用老鸭汤。,shashenyuzhulaoya.png,《中医食疗学》：此膳具有【滋阴清热，润肺养胃】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
53,麦冬石斛瘦肉汤,猪瘦肉、麦冬、石斛、红枣,养阴生津，清心除烦,阴虚质,1. 瘦肉300g焯水，麦冬12g，石斛10g，红枣15g去核；2. 砂锅加水1.2L炖1.5小时；3. 加盐2g。,脾胃虚寒、有痰湿者慎服麦冬。,maidongshihushourou.png,《中医食疗学》：此膳具有【养阴生津，清心除烦】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
54,雪梨川贝炖冰糖,雪梨、川贝、冰糖,润肺止咳，清热化痰,阴虚质,1. 雪梨1个切盖挖核成盅；2. 川贝粉3g和冰糖10g放入梨内盖好；3. 隔水蒸40-60分钟连汤带梨吃。,脾胃虚寒及寒咳（痰白清稀）忌用。,xuelichuanbei.png,《中医食疗学》：此膳具有【润肺止咳，清热化痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
55,莲子百合糖水,莲子、百合、冰糖,养心安神，滋阴润燥,阴虚质,1. 干莲子30g去心泡软，干百合15g泡软；2. 加水800ml先煮莲子30分钟；3. 加百合煮15分钟；4. 加冰糖20g化开。,风寒咳嗽者不宜多吃。,lianzibaihetangshui.png,《日华子本草》：百合安心，定胆，益志，养五脏。方以清心安神，润肺止咳。
56,甲鱼汤,甲鱼、枸杞、山药、生姜,滋阴凉血，补益肝肾,阴虚质,1. 甲鱼1只（约500g）去黑膜斩块焯水，鲜山药150g切块；2. 葱姜爆香炒甲鱼，加开水1.5L炖1小时；3. 加山药炖20分钟，加枸杞10g盐3g。,脾胃虚寒及产后泄泻者忌食。,jiayutang.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
57,桑葚膏,桑葚、蜂蜜,滋阴补血，生津润肠,阴虚质,1. 鲜桑葚500g捣烂出汁；2. 砂锅不加水小火慢熬至膏状；3. 降温至40度加蜂蜜150g拌匀密封。,糖尿病患者、脾虚便溏者忌服。,sangshengao.png,《中医食疗学》：此膳具有【滋阴补血，生津润肠】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
58,枸杞猪肝汤,猪肝、枸杞、菠菜、生姜,养肝明目，滋阴补血,阴虚质,1. 猪肝150g切薄片洗净血水加料酒生粉腌制；2. 菠菜100g焯水，枸杞10g；3. 水烧开下姜片和猪肝滑熟，下菠菜枸杞煮1分钟；4. 加盐2g。,高血脂患者不宜多食猪肝。,gouqizhugan.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
59,蜂蜜柚子茶,柚子、蜂蜜、冰糖,滋阴润燥，理气化痰,阴虚质,1. 柚子皮丝50g盐水去苦，柚子肉300g；2. 加冰糖100g少水熬1小时至粘稠；3. 降温加蜂蜜100g装瓶。,脾虚泄泻者忌多食。,fengmiyouzi.png,《中医食疗学》：此膳具有【滋阴润燥，理气化痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
60,黑豆红枣汤,黑豆、红枣、红糖,补肾滋阴，养血安神,阴虚质,1. 黑豆50g浸泡4小时，红枣20g去核；2. 加水800ml煮黑豆50分钟；3. 加红枣煮20分钟；4. 加红糖15g。,腹胀腹泻者少食。,heidouhongzao.png,《中医食疗学》：此膳具有【补肾滋阴，养血安神】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
61,燕窝炖冰糖,燕窝、冰糖、枸杞,滋阴润肺，益气补中,阴虚质,1. 干燕窝5g冷水泡发挑毛撕条；2. 放入炖盅加水没过，隔水炖25分钟；3. 加冰糖10g、枸杞3g炖5分钟。,对蛋白质过敏及感冒初起忌食。,yanwodunbingtang.png,《中医食疗学》：此膳具有【滋阴润肺，益气补中】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
62,冬瓜薏仁汤,冬瓜、薏仁、瘦肉,清热利湿，消痰减肥,痰湿质,1. 薏米30g浸泡2小时，瘦肉100g切片腌制，带皮冬瓜300g切块；2. 加水1L煮薏米40分钟；3. 加冬瓜煮15分钟，滑入瘦肉变色加盐2g。,遗尿及肾虚体寒者忌服。,dongguayiren.png,《中医食疗学》：此膳具有【清热利湿，消痰减肥】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
63,陈皮山楂茶,陈皮、山楂、冰糖,理气化痰，消食化积,痰湿质、气郁质,1. 陈皮5g刮瓤，干山楂片10g；2. 加入开水500ml小火煮10分钟；3. 加冰糖10g。,胃溃疡及孕妇忌饮。,chenpishanzha.png,《本草纲目》：橘皮，苦能泄能燥，辛能散，温能和。此膳主理气健脾，燥湿化痰。
64,白萝卜鲫鱼汤,白萝卜、鲫鱼、生姜,化痰止咳，健脾利湿,痰湿质,1. 鲫鱼1条（约300g）煎至两面金黄；2. 倒沸水1.2L加姜片10g大火煮15分钟汤白；3. 加白萝卜丝150g煮5分钟，加盐3g白胡椒1g。,痛风患者不宜多喝浓汤。,bailuobojiyu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
65,芡实莲子粥,芡实、莲子、大米,健脾祛湿，固肾止泻,痰湿质,1. 芡实20g、莲子20g浸泡2小时；2. 大米80g；3. 砂锅加水1L下芡实莲子煮30分钟；4. 下大米熬40分钟至粘稠。,大便干结燥热者忌服芡实。,qianshilianzi.png,《中医食疗学》：此膳具有【健脾祛湿，固肾止泻】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
66,荷叶绿豆汤,荷叶、绿豆、冰糖,清热解暑，利湿化痰,痰湿质、湿热质,1. 绿豆50g浸泡2小时，鲜荷叶半张切块；2. 绿豆加水1L煮30分钟开花；3. 下荷叶煮10分钟捞出残渣；4. 加冰糖15g。,脾胃虚寒、气血不足忌饮。,heyelvdou.png,《中医食疗学》：此膳具有【清热解暑，利湿化痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
67,砂仁鲫鱼汤,砂仁、鲫鱼、生姜,化湿行气，温中止呕,痰湿质,1. 鲫鱼1条（约300g）煎黄，生姜10g；2. 加开水1L煮15分钟；3. 砂仁5g砸碎装包放入，小火煮10分钟加盐2g。,阴虚有热、胃火牙痛者忌用砂仁。,sharenjiyu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
68,玉米须茶,玉米须、绿茶、冰糖,利尿消肿，清热利湿,痰湿质、湿热质,1. 鲜玉米须50g加水800ml煮10分钟滤汁；2. 用汤汁冲泡绿茶3g；3. 加少许冰糖代茶饮。,夜尿频多者忌饮。,yumixucha.png,《中医食疗学》：此膳具有【利尿消肿，清热利湿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
69,紫苏姜茶,紫苏叶、生姜、红糖,解表散寒，行气宽中,痰湿质,1. 鲜紫苏叶15g，生姜片15g；2. 加水500ml先煮姜片5分钟；3. 下紫苏叶煮1-2分钟（切忌久煮）；4. 加红糖15g温服。,气弱表虚易出汗者忌服紫苏。,zisujiangcha.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
70,赤小豆鲤鱼汤,赤小豆、鲤鱼、陈皮,利水消肿，健脾祛湿,痰湿质、血瘀质,1. 赤小豆50g浸泡，鲤鱼1条（约400g）煎去腥；2. 陈皮5g泡软；3. 砂锅开水1.5L下全部食材慢煲1.5小时；4. 加盐2g。,疮疡初起及素有顽癣者忌食。,chixiaodouliyu.png,《本草纲目》：橘皮，苦能泄能燥，辛能散，温能和。此膳主理气健脾，燥湿化痰。
71,山楂麦芽饮,山楂、麦芽、冰糖,消食化积，行气化痰,痰湿质,1. 干山楂10g，炒麦芽15g洗净；2. 加水600ml小火慢煎20分钟；3. 滤出汤汁加冰糖10g饭后温服。,孕妇绝对禁用（易回乳流产）。,shanzhamaiya.png,《中医食疗学》：此膳具有【消食化积，行气化痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
72,扁豆薏米粥,白扁豆、薏米、大米,健脾化湿，和中消暑,痰湿质,1. 炒白扁豆30g、薏米30g浸泡2小时；2. 大米80g；3. 加水1L先煮扁豆薏米40分钟；4. 下大米熬30分钟至软烂。,白扁豆必须完全煮熟防中毒。,biandouyimi.png,《中医食疗学》：此膳具有【健脾化湿，和中消暑】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
73,生姜大枣茶,生姜、大枣、红糖,温中散寒，健脾祛湿,痰湿质、阳虚质,1. 带皮生姜片15g，大枣20g去核；2. 加水600ml小火加盖熬20分钟；3. 加红糖15g化开上午饮用。,内有实热及糖尿病患者忌服。,shengjiangdazao.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
74,冬瓜荷叶汤,冬瓜、鲜荷叶、薏米,清热解暑，利湿祛痰,湿热质,1. 薏米30g炒黄浸泡，带皮冬瓜300g块，鲜荷叶半张；2. 加水1L先煮薏米30分钟；3. 加冬瓜煮15分钟；4. 下荷叶煮5分钟加盐2g。,脾胃虚寒易腹泻者忌食。,dongguaheye.png,《中医食疗学》：此膳具有【清热解暑，利湿祛痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
75,苦瓜炒鸡蛋,苦瓜、鸡蛋、生姜,清热泻火，利湿解毒,湿热质,1. 苦瓜200g去白瓤切片盐腌去苦水，鸡蛋2个打散；2. 姜丝爆香，先炒鸡蛋盛出；3. 炒苦瓜断生，混入鸡蛋加盐2g。,苦瓜大寒，孕妇、脾胃虚寒者忌食。,kuguachaojidan.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
76,马齿苋拌蒜泥,鲜马齿苋、大蒜、醋,清热解毒，凉血利湿,湿热质,1. 鲜马齿苋300g焯水1分钟过凉沥干切段；2. 蒜泥15g，加生抽陈醋香油调汁；3. 淋入马齿苋拌匀。,孕妇、经常腹泻者绝对禁忌。,machixianbansuanni.png,《中医食疗学》：此膳具有【清热解毒，凉血利湿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
77,茵陈蒿鲫鱼汤,茵陈蒿、鲫鱼、生姜,清利湿热，退黄利尿,湿热质,1. 鲫鱼1条（约300g）煎黄，姜片10g；2. 茵陈蒿15g装包；3. 沸水1.2L大火滚鱼汤15分钟；4. 下药包煲20分钟取出加盐3g。,非湿热性黄疸忌服茵陈蒿。,yinchenhaojiyu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
78,黄瓜薏米沙拉,黄瓜、熟薏米、柠檬汁,清热利水，健脾祛湿,湿热质,1. 薏米50g煮熟开花过凉沥干；2. 鲜黄瓜1根刮成长条；3. 挤入柠檬汁10ml，加海盐黑胡椒橄榄油拌匀。,黄瓜生冷，脾虚胃寒者少食。,huangguayimi.png,《中医食疗学》：此膳具有【清热利水，健脾祛湿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
79,土茯苓炖老鸭,土茯苓、老鸭、陈皮,解毒除湿，通利关节,湿热质,1. 老鸭400g焯水，鲜土茯苓100g切片（或干品30g），陈皮5g；2. 加水1.5L慢炖1.5-2小时；3. 加盐3g调味。,脾胃虚寒及肾虚多尿者慎用老鸭。,tufulinglaoya.png,《神农本草经》：茯苓主胸胁逆气，补中健胃。此膳以利水渗湿，健脾宁心见长。
80,芹菜炒木耳,芹菜、黑木耳、胡萝卜,清热平肝，利湿通便,湿热质,1. 泡发黑木耳50g，西芹150g段，胡萝卜50g片；2. 焯水沥干；3. 蒜末爆香大火快炒三鲜加盐2g生抽少许。,脾胃虚寒大便滑泄者不宜多食。,qincaichaomuer.png,《中医食疗学》：此膳具有【清热平肝，利湿通便】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
81,白扁豆山药粥,白扁豆、山药、粳米,健脾化湿，补中益气,湿热质,1. 炒白扁豆30g泡透，鲜山药150g切块，粳米80g；2. 扁豆加水1L先煮30分钟；3. 粳米山药下锅熬30分钟至烂稠。,扁豆若夹生含毒素必须熬烂。,baibiandoushanyao.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
82,凉拌蒲公英,鲜蒲公英、芝麻酱、醋,清热解毒，利尿散结,湿热质,1. 鲜蒲公英200g焯水1分钟过凉挤水切段；2. 芝麻酱15g加陈醋生抽蒜末调汁；3. 拌匀食用。,蒲公英大寒，阳虚外寒者忌食。,lianbanpugongying.png,《中医食疗学》：此膳具有【清热解毒，利尿散结】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
